disc_number,duration_ms.x,explicit,href,id,is_local,name,popularity,preview_url,track_number,type.x,uri.x,album.album_type,album.href,album.id,album.name,album.release_date,album.release_date_precision,album.total_tracks,album.type,album.uri,album.external_urls.spotify,external_ids.isrc,external_urls.spotify,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type.y,uri.y,track_href,analysis_url,duration_ms.y,time_signature,listener,language
1,184301,FALSE,https://api.spotify.com/v1/tracks/3nqhacrhmERFCAO6YTCAMB,3nqhacrhmERFCAO6YTCAMB,FALSE,As It Is,57,https://p.scdn.co/mp3-preview/688ed9db1417166774d77e764ab4511f4a797a34?cid=0a65c6ae76cc413aa20d89ccec00ef2e,2,track,spotify:track:3nqhacrhmERFCAO6YTCAMB,SINGLE,https://api.spotify.com/v1/albums/4t4kHyQ0DvmfYYHJITb9l8,4t4kHyQ0DvmfYYHJITb9l8,Because I Wanted You to Know,20/11/20,day,5,album,spotify:album:4t4kHyQ0DvmfYYHJITb9l8,https://open.spotify.com/album/4t4kHyQ0DvmfYYHJITb9l8,QM6N22072895,https://open.spotify.com/track/3nqhacrhmERFCAO6YTCAMB,0.657,0.258,10,-12.613,1,0.0311,0.908,2.79E-06,0.116,0.318,127.725,audio_features,spotify:track:3nqhacrhmERFCAO6YTCAMB,https://api.spotify.com/v1/tracks/3nqhacrhmERFCAO6YTCAMB,https://api.spotify.com/v1/audio-analysis/3nqhacrhmERFCAO6YTCAMB,184301,4,Megan,1
1,234080,FALSE,https://api.spotify.com/v1/tracks/5PzWVmfzu7rePAuFkxPQf0,5PzWVmfzu7rePAuFkxPQf0,FALSE,Repeat Until Death,75,https://p.scdn.co/mp3-preview/f40d26ba35f4a7068f5290e610bb42d173fa8a73?cid=0a65c6ae76cc413aa20d89ccec00ef2e,9,track,spotify:track:5PzWVmfzu7rePAuFkxPQf0,ALBUM,https://api.spotify.com/v1/albums/0tWckYjFI6ioZptLr42J3p,0tWckYjFI6ioZptLr42J3p,Birthplace,19/10/18,day,10,album,spotify:album:0tWckYjFI6ioZptLr42J3p,https://open.spotify.com/album/0tWckYjFI6ioZptLr42J3p,GB45A1801029,https://open.spotify.com/track/5PzWVmfzu7rePAuFkxPQf0,0.233,0.15,1,-11.736,1,0.0336,0.982,0.36,0.154,0.0875,143.887,audio_features,spotify:track:5PzWVmfzu7rePAuFkxPQf0,https://api.spotify.com/v1/tracks/5PzWVmfzu7rePAuFkxPQf0,https://api.spotify.com/v1/audio-analysis/5PzWVmfzu7rePAuFkxPQf0,234080,3,Megan,1
1,286743,FALSE,https://api.spotify.com/v1/tracks/1F0WmzKJt8ylEAfjeXAiTc,1F0WmzKJt8ylEAfjeXAiTc,FALSE,"Above All Else, Be Kind",42,https://p.scdn.co/mp3-preview/35358813a86a888ed420ee010ab4d167f8b04cc3?cid=0a65c6ae76cc413aa20d89ccec00ef2e,1,track,spotify:track:1F0WmzKJt8ylEAfjeXAiTc,SINGLE,https://api.spotify.com/v1/albums/70TxrZBn8JLp8WwMjXmU8U,70TxrZBn8JLp8WwMjXmU8U,"Above All Else, Be Kind",20/4/20,day,1,album,spotify:album:70TxrZBn8JLp8WwMjXmU8U,https://open.spotify.com/album/70TxrZBn8JLp8WwMjXmU8U,UKHM88190040,https://open.spotify.com/track/1F0WmzKJt8ylEAfjeXAiTc,0.378,0.286,1,-18.965,1,0.0735,0.774,0.773,0.0964,0.0619,72.994,audio_features,spotify:track:1F0WmzKJt8ylEAfjeXAiTc,https://api.spotify.com/v1/tracks/1F0WmzKJt8ylEAfjeXAiTc,https://api.spotify.com/v1/audio-analysis/1F0WmzKJt8ylEAfjeXAiTc,286744,4,Megan,1
1,298483,FALSE,https://api.spotify.com/v1/tracks/4zfdaZxEFXgZDrGP8UWq10,4zfdaZxEFXgZDrGP8UWq10,FALSE,The Dark,45,NA,1,track,spotify:track:4zfdaZxEFXgZDrGP8UWq10,SINGLE,https://api.spotify.com/v1/albums/0eAHJ8R9M3X1GYeBotCPVV,0eAHJ8R9M3X1GYeBotCPVV,The Dark,31/7/20,day,1,album,spotify:album:0eAHJ8R9M3X1GYeBotCPVV,https://open.spotify.com/album/0eAHJ8R9M3X1GYeBotCPVV,CAN112000287,https://open.spotify.com/track/4zfdaZxEFXgZDrGP8UWq10,0.22,0.242,7,-11.659,1,0.0294,0.752,0.0185,0.0761,0.0493,60.532,audio_features,spotify:track:4zfdaZxEFXgZDrGP8UWq10,https://api.spotify.com/v1/tracks/4zfdaZxEFXgZDrGP8UWq10,https://api.spotify.com/v1/audio-analysis/4zfdaZxEFXgZDrGP8UWq10,298483,4,Megan,1
1,251872,FALSE,https://api.spotify.com/v1/tracks/0yPm9Wg6qcTwLZIXweNGpA,0yPm9Wg6qcTwLZIXweNGpA,FALSE,Quiver,44,https://p.scdn.co/mp3-preview/771d31e17c83e5d598b3e531cd6b4dced0aee086?cid=0a65c6ae76cc413aa20d89ccec00ef2e,1,track,spotify:track:0yPm9Wg6qcTwLZIXweNGpA,SINGLE,https://api.spotify.com/v1/albums/3iJqPoSepf0oHwIWd7K83f,3iJqPoSepf0oHwIWd7K83f,Quiver,10/1/20,day,2,album,spotify:album:3iJqPoSepf0oHwIWd7K83f,https://open.spotify.com/album/3iJqPoSepf0oHwIWd7K83f,TCAEO1944701,https://open.spotify.com/track/0yPm9Wg6qcTwLZIXweNGpA,0.454,0.314,4,-11.278,1,0.0292,0.887,0.00166,0.111,0.203,142.951,audio_features,spotify:track:0yPm9Wg6qcTwLZIXweNGpA,https://api.spotify.com/v1/tracks/0yPm9Wg6qcTwLZIXweNGpA,https://api.spotify.com/v1/audio-analysis/0yPm9Wg6qcTwLZIXweNGpA,251872,4,Megan,1
1,117920,FALSE,https://api.spotify.com/v1/tracks/6b68aviQQgq22JuK2CDno6,6b68aviQQgq22JuK2CDno6,FALSE,Statue Of A Woman,44,https://p.scdn.co/mp3-preview/b5885e86553c5834e5dc818be46951ae152834e8?cid=0a65c6ae76cc413aa20d89ccec00ef2e,8,track,spotify:track:6b68aviQQgq22JuK2CDno6,ALBUM,https://api.spotify.com/v1/albums/1KkBDNtkZDW8COUNKAWRPw,1KkBDNtkZDW8COUNKAWRPw,"Cannot Be, Whatsoever",6/11/20,day,10,album,spotify:album:1KkBDNtkZDW8COUNKAWRPw,https://open.spotify.com/album/1KkBDNtkZDW8COUNKAWRPw,GB45A2002054,https://open.spotify.com/track/6b68aviQQgq22JuK2CDno6,0.0687,0.229,10,-17.496,1,0.0327,0.878,0.842,0.0912,0.0313,71.318,audio_features,spotify:track:6b68aviQQgq22JuK2CDno6,https://api.spotify.com/v1/tracks/6b68aviQQgq22JuK2CDno6,https://api.spotify.com/v1/audio-analysis/6b68aviQQgq22JuK2CDno6,117920,4,Megan,1
1,154909,FALSE,https://api.spotify.com/v1/tracks/4NmVOfj6JSxruDVrYW46AL,4NmVOfj6JSxruDVrYW46AL,FALSE,I Know,45,https://p.scdn.co/mp3-preview/1dd079be229a77df829caa9e8844561e20da49ac?cid=0a65c6ae76cc413aa20d89ccec00ef2e,1,track,spotify:track:4NmVOfj6JSxruDVrYW46AL,SINGLE,https://api.spotify.com/v1/albums/4dYC2w3OZtkW5xynPq6Jk2,4dYC2w3OZtkW5xynPq6Jk2,I Know,28/8/20,day,1,album,spotify:album:4dYC2w3OZtkW5xynPq6Jk2,https://open.spotify.com/album/4dYC2w3OZtkW5xynPq6Jk2,USWB12002194,https://open.spotify.com/track/4NmVOfj6JSxruDVrYW46AL,0.523,0.134,8,-16.839,1,0.0324,0.944,0.0333,0.102,0.104,130.243,audio_features,spotify:track:4NmVOfj6JSxruDVrYW46AL,https://api.spotify.com/v1/tracks/4NmVOfj6JSxruDVrYW46AL,https://api.spotify.com/v1/audio-analysis/4NmVOfj6JSxruDVrYW46AL,154910,3,Megan,1
1,175093,FALSE,https://api.spotify.com/v1/tracks/4J0LMAbGMFktgaR9CfF5FU,4J0LMAbGMFktgaR9CfF5FU,FALSE,"Oh, Round Lake",50,https://p.scdn.co/mp3-preview/a1ba4c53eb8a69e968e38375833748878424bad9?cid=0a65c6ae76cc413aa20d89ccec00ef2e,10,track,spotify:track:4J0LMAbGMFktgaR9CfF5FU,ALBUM,https://api.spotify.com/v1/albums/0tWckYjFI6ioZptLr42J3p,0tWckYjFI6ioZptLr42J3p,Birthplace,19/10/18,day,10,album,spotify:album:0tWckYjFI6ioZptLr42J3p,https://open.spotify.com/album/0tWckYjFI6ioZptLr42J3p,GB45A1801030,https://open.spotify.com/track/4J0LMAbGMFktgaR9CfF5FU,0.564,0.227,1,-14.668,1,0.0407,0.963,0.000824,0.0601,0.222,124.824,audio_features,spotify:track:4J0LMAbGMFktgaR9CfF5FU,https://api.spotify.com/v1/tracks/4J0LMAbGMFktgaR9CfF5FU,https://api.spotify.com/v1/audio-analysis/4J0LMAbGMFktgaR9CfF5FU,175093,4,Megan,1
1,174466,FALSE,https://api.spotify.com/v1/tracks/2MLfUQlgGQwdKGDDbiVPXU,2MLfUQlgGQwdKGDDbiVPXU,FALSE,Picture Perfect,32,https://p.scdn.co/mp3-preview/8beaebc0f57525f15ab35a406cf4098e829312e9?cid=0a65c6ae76cc413aa20d89ccec00ef2e,1,track,spotify:track:2MLfUQlgGQwdKGDDbiVPXU,SINGLE,https://api.spotify.com/v1/albums/5wR0p1quBhm7JUnmsjPrm2,5wR0p1quBhm7JUnmsjPrm2,Picture Perfect,14/5/19,day,1,album,spotify:album:5wR0p1quBhm7JUnmsjPrm2,https://open.spotify.com/album/5wR0p1quBhm7JUnmsjPrm2,GB9TP1900260,https://open.spotify.com/track/2MLfUQlgGQwdKGDDbiVPXU,0.409,0.295,7,-13.038,1,0.0329,0.907,0.0718,0.207,0.38,152.235,audio_features,spotify:track:2MLfUQlgGQwdKGDDbiVPXU,https://api.spotify.com/v1/tracks/2MLfUQlgGQwdKGDDbiVPXU,https://api.spotify.com/v1/audio-analysis/2MLfUQlgGQwdKGDDbiVPXU,174467,4,Megan,1
1,195154,FALSE,https://api.spotify.com/v1/tracks/5p5MHsAI1hIHRlXoVMVAQs,5p5MHsAI1hIHRlXoVMVAQs,FALSE,Low,0,NA,1,track,spotify:track:5p5MHsAI1hIHRlXoVMVAQs,SINGLE,https://api.spotify.com/v1/albums/6NQ75uZ4mY4PeibwVG7gVW,6NQ75uZ4mY4PeibwVG7gVW,Low,7/9/18,day,1,album,spotify:album:6NQ75uZ4mY4PeibwVG7gVW,https://open.spotify.com/album/6NQ75uZ4mY4PeibwVG7gVW,QMR5W1800001,https://open.spotify.com/track/5p5MHsAI1hIHRlXoVMVAQs,0.52,0.292,9,-12.33,1,0.0405,0.857,0.00034,0.0895,0.444,149.667,audio_features,spotify:track:5p5MHsAI1hIHRlXoVMVAQs,https://api.spotify.com/v1/tracks/5p5MHsAI1hIHRlXoVMVAQs,https://api.spotify.com/v1/audio-analysis/5p5MHsAI1hIHRlXoVMVAQs,195155,4,Megan,1
1,202960,FALSE,https://api.spotify.com/v1/tracks/720kcKRMGl2rJh6jsfu8Z5,720kcKRMGl2rJh6jsfu8Z5,FALSE,Sleepless,53,https://p.scdn.co/mp3-preview/0b46c6feb47203f3cdff9bda956befc7edb4c594?cid=0a65c6ae76cc413aa20d89ccec00ef2e,8,track,spotify:track:720kcKRMGl2rJh6jsfu8Z5,ALBUM,https://api.spotify.com/v1/albums/0tWckYjFI6ioZptLr42J3p,0tWckYjFI6ioZptLr42J3p,Birthplace,19/10/18,day,10,album,spotify:album:0tWckYjFI6ioZptLr42J3p,https://open.spotify.com/album/0tWckYjFI6ioZptLr42J3p,GB45A1801028,https://open.spotify.com/track/720kcKRMGl2rJh6jsfu8Z5,0.467,0.532,7,-7.519,1,0.0339,0.897,0.144,0.101,0.121,72.49,audio_features,spotify:track:720kcKRMGl2rJh6jsfu8Z5,https://api.spotify.com/v1/tracks/720kcKRMGl2rJh6jsfu8Z5,https://api.spotify.com/v1/audio-analysis/720kcKRMGl2rJh6jsfu8Z5,202960,4,Megan,1
1,165506,FALSE,https://api.spotify.com/v1/tracks/1diS6nkxMQc3wwC4G1j0bh,1diS6nkxMQc3wwC4G1j0bh,FALSE,We're Good,82,https://p.scdn.co/mp3-preview/cbfa38909cb033b2672f188cf26ca788ec3bfa07?cid=0a65c6ae76cc413aa20d89ccec00ef2e,13,track,spotify:track:1diS6nkxMQc3wwC4G1j0bh,ALBUM,https://api.spotify.com/v1/albums/0JeyP8r2hBxYIoxXv11XiX,0JeyP8r2hBxYIoxXv11XiX,Future Nostalgia (The Moonlight Edition),11/2/21,day,19,album,spotify:album:0JeyP8r2hBxYIoxXv11XiX,https://open.spotify.com/album/0JeyP8r2hBxYIoxXv11XiX,GBAHT2001117,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh,0.722,0.588,6,-5.932,1,0.0544,0.0319,0,0.183,0.59,134.01,audio_features,spotify:track:1diS6nkxMQc3wwC4G1j0bh,https://api.spotify.com/v1/tracks/1diS6nkxMQc3wwC4G1j0bh,https://api.spotify.com/v1/audio-analysis/1diS6nkxMQc3wwC4G1j0bh,165507,4,Megan,1
1,289013,FALSE,https://api.spotify.com/v1/tracks/0a86NiPVE7gSbjjkDILitZ,0a86NiPVE7gSbjjkDILitZ,FALSE,"Alive, Awake!",18,https://p.scdn.co/mp3-preview/27cfc54c3124672f82f47700c0412a32206ccace?cid=0a65c6ae76cc413aa20d89ccec00ef2e,2,track,spotify:track:0a86NiPVE7gSbjjkDILitZ,ALBUM,https://api.spotify.com/v1/albums/34oYoGcoiFdxHO4CAaQwmo,34oYoGcoiFdxHO4CAaQwmo,As It Grows Dark / Light,26/6/20,day,10,album,spotify:album:34oYoGcoiFdxHO4CAaQwmo,https://open.spotify.com/album/34oYoGcoiFdxHO4CAaQwmo,UKHM88190017,https://open.spotify.com/track/0a86NiPVE7gSbjjkDILitZ,0.268,0.191,2,-15.775,1,0.0528,0.768,0.92,0.0937,0.0666,179.935,audio_features,spotify:track:0a86NiPVE7gSbjjkDILitZ,https://api.spotify.com/v1/tracks/0a86NiPVE7gSbjjkDILitZ,https://api.spotify.com/v1/audio-analysis/0a86NiPVE7gSbjjkDILitZ,289014,4,Megan,1
1,199172,FALSE,https://api.spotify.com/v1/tracks/65UmmVS68A7xXBnMr7ZCnb,65UmmVS68A7xXBnMr7ZCnb,FALSE,Now & Then,47,https://p.scdn.co/mp3-preview/cd3055d3a31d91ac7c6b943e1d4cee602397735d?cid=0a65c6ae76cc413aa20d89ccec00ef2e,10,track,spotify:track:65UmmVS68A7xXBnMr7ZCnb,ALBUM,https://api.spotify.com/v1/albums/701VQaTFIAVNkfLuR4oFFv,701VQaTFIAVNkfLuR4oFFv,Arcadia,15/11/19,day,11,album,spotify:album:701VQaTFIAVNkfLuR4oFFv,https://open.spotify.com/album/701VQaTFIAVNkfLuR4oFFv,CAN111900258,https://open.spotify.com/track/65UmmVS68A7xXBnMr7ZCnb,0.693,0.211,0,-11.688,1,0.0499,0.775,2.41E-05,0.114,0.109,121.106,audio_features,spotify:track:65UmmVS68A7xXBnMr7ZCnb,https://api.spotify.com/v1/tracks/65UmmVS68A7xXBnMr7ZCnb,https://api.spotify.com/v1/audio-analysis/65UmmVS68A7xXBnMr7ZCnb,199173,4,Megan,1
1,219934,FALSE,https://api.spotify.com/v1/tracks/7BxvACOX2EVYofhyrgM9z8,7BxvACOX2EVYofhyrgM9z8,FALSE,The Art Of Getting By,0,NA,1,track,spotify:track:7BxvACOX2EVYofhyrgM9z8,SINGLE,https://api.spotify.com/v1/albums/5v9jY7h8jCYXyMqyO512S0,5v9jY7h8jCYXyMqyO512S0,The Art Of Getting By,21/2/20,day,1,album,spotify:album:5v9jY7h8jCYXyMqyO512S0,https://open.spotify.com/album/5v9jY7h8jCYXyMqyO512S0,GBMA22052353,https://open.spotify.com/track/7BxvACOX2EVYofhyrgM9z8,0.536,0.189,11,-12.245,1,0.0301,0.831,0,0.117,0.341,80.346,audio_features,spotify:track:7BxvACOX2EVYofhyrgM9z8,https://api.spotify.com/v1/tracks/7BxvACOX2EVYofhyrgM9z8,https://api.spotify.com/v1/audio-analysis/7BxvACOX2EVYofhyrgM9z8,219934,4,Megan,1
1,156137,FALSE,https://api.spotify.com/v1/tracks/37PwUkCbYxvlExuGU4Hm5k,37PwUkCbYxvlExuGU4Hm5k,FALSE,dna [demo],50,https://p.scdn.co/mp3-preview/63cdbabe32ae15993f85413f135cb272b69da382?cid=0a65c6ae76cc413aa20d89ccec00ef2e,2,track,spotify:track:37PwUkCbYxvlExuGU4Hm5k,SINGLE,https://api.spotify.com/v1/albums/0GrGh2x8KprTal72UkxnBP,0GrGh2x8KprTal72UkxnBP,up to me / dna [demo],15/7/21,day,2,album,spotify:album:0GrGh2x8KprTal72UkxnBP,https://open.spotify.com/album/0GrGh2x8KprTal72UkxnBP,GBUM72103957,https://open.spotify.com/track/37PwUkCbYxvlExuGU4Hm5k,0.363,0.315,11,-11.257,1,0.176,0.673,0,0.109,0.341,198.666,audio_features,spotify:track:37PwUkCbYxvlExuGU4Hm5k,https://api.spotify.com/v1/tracks/37PwUkCbYxvlExuGU4Hm5k,https://api.spotify.com/v1/audio-analysis/37PwUkCbYxvlExuGU4Hm5k,156138,4,Megan,1
1,191086,FALSE,https://api.spotify.com/v1/tracks/4By9kkp1R1TSmAMckSM3KO,4By9kkp1R1TSmAMckSM3KO,FALSE,homebody,55,https://p.scdn.co/mp3-preview/1f050c8fb2870e9411f59edfc735281cdb1ec6e0?cid=0a65c6ae76cc413aa20d89ccec00ef2e,3,track,spotify:track:4By9kkp1R1TSmAMckSM3KO,SINGLE,https://api.spotify.com/v1/albums/2W8nO4x2KlHc3z3xxe23PW,2W8nO4x2KlHc3z3xxe23PW,sucks to see you doing better (extended),11/12/20,day,7,album,spotify:album:2W8nO4x2KlHc3z3xxe23PW,https://open.spotify.com/album/2W8nO4x2KlHc3z3xxe23PW,CAUM72000199,https://open.spotify.com/track/4By9kkp1R1TSmAMckSM3KO,0.618,0.63,1,-7.244,1,0.0406,0.209,1.71E-05,0.0622,0.592,155.035,audio_features,spotify:track:4By9kkp1R1TSmAMckSM3KO,https://api.spotify.com/v1/tracks/4By9kkp1R1TSmAMckSM3KO,https://api.spotify.com/v1/audio-analysis/4By9kkp1R1TSmAMckSM3KO,191087,4,Megan,1
1,291676,FALSE,https://api.spotify.com/v1/tracks/63F2nWghdifkNHVns5GT8W,63F2nWghdifkNHVns5GT8W,FALSE,Fade into You,61,https://p.scdn.co/mp3-preview/069bce59abf687f56fc34a0394dd1a091a739a61?cid=0a65c6ae76cc413aa20d89ccec00ef2e,1,track,spotify:track:63F2nWghdifkNHVns5GT8W,SINGLE,https://api.spotify.com/v1/albums/5YW0yUKUNHJo4VJ1LwF2Ap,5YW0yUKUNHJo4VJ1LwF2Ap,Fade into You,27/7/18,day,1,album,spotify:album:5YW0yUKUNHJo4VJ1LwF2Ap,https://open.spotify.com/album/5YW0yUKUNHJo4VJ1LwF2Ap,TCADT1800026,https://open.spotify.com/track/63F2nWghdifkNHVns5GT8W,0.478,0.398,2,-10.124,1,0.0286,0.0222,0.0183,0.0826,0.371,159.906,audio_features,spotify:track:63F2nWghdifkNHVns5GT8W,https://api.spotify.com/v1/tracks/63F2nWghdifkNHVns5GT8W,https://api.spotify.com/v1/audio-analysis/63F2nWghdifkNHVns5GT8W,291676,3,Megan,1